,"γ=2, r=2, λ=2","γ=2, r=2, λ=5","γ=2, r=2, λ=10","γ=2, r=5, λ=2","γ=2, r=5, λ=5","γ=2, r=5, λ=10","γ=2, r=10, λ=2","γ=2, r=10, λ=5","γ=2, r=10, λ=10","γ=4, r=2, λ=2","γ=4, r=2, λ=5","γ=4, r=2, λ=10","γ=4, r=5, λ=2","γ=4, r=5, λ=5","γ=4, r=5, λ=10","γ=4, r=10, λ=2","γ=4, r=10, λ=5","γ=4, r=10, λ=10","γ=6, r=2, λ=2","γ=6, r=2, λ=5","γ=6, r=2, λ=10","γ=6, r=5, λ=2","γ=6, r=5, λ=5","γ=6, r=5, λ=10","γ=6, r=10, λ=2","γ=6, r=10, λ=5","γ=6, r=10, λ=10"
β=0.5,46.77748959307029,46.74941439583813,46.7026224004512,46.77156639947718,46.74347787505943,46.69666366769652,46.76168190374218,46.73357113920903,46.68671986498712,38.65577957049859,38.632587654169875,38.59393446028867,38.647702537404214,38.624501527593154,38.58583317790804,38.63422673090497,38.611010549432855,38.57231691364599,32.940769960083614,32.92101426558699,32.888088108092624,32.93198134274897,32.91221905019128,32.879281895928465,32.917320594385366,32.89754729525984,32.8645917967173
β=1.0,52.27791672956387,52.26222874338883,52.23608209976374,52.27606765791052,52.260375511324234,52.23422193368045,52.27298369144111,52.25728460593028,52.23111946341224,46.782833904670404,46.76879741603841,46.745403268318405,46.779875699241494,46.76583588013052,46.74243618161224,46.7749422360609,46.76089686263812,46.73748790693349,42.334508403315105,42.32180881876084,42.30064284450375,42.33087709455812,42.31817478379609,42.29700426585937,42.32482144748044,42.31211459043682,42.290936495364114
β=1.5,54.40746750043224,54.39658225349164,54.37844017525732,54.4065773556334,54.39569010586701,54.37754468958969,54.40509305282643,54.39420246337873,54.376051480965884,50.30657765954205,50.296513987246534,50.27974120008733,50.30505712888383,50.29499174470741,50.27821610441337,50.30252176123922,50.29245352263337,50.275673124956974,46.781281645014396,46.77192423256351,46.75632854514538,46.77931026132367,46.76995136885501,46.75435321474056,46.77602323567614,46.766661875470504,46.75105960846111
β=2.0,55.53640062304216,55.52806672562745,55.5141768966029,55.53587887400224,55.527543802652175,55.51365201706875,55.53500896554797,55.52667193690388,55.51277688916374,52.273453910515315,52.2656102640215,52.25253751986512,52.27253027220887,52.26468558584204,52.25161110856401,52.27099033068214,52.2631439105808,52.25006654374523,49.3730719622732,49.36566409210255,49.353317641818116,49.37183649277395,49.36442769507364,49.352079698906465,49.36977668928056,49.362366345181236,49.35001577168236
