,"γ=2, r=2, λ=2","γ=2, r=2, λ=5","γ=2, r=2, λ=10","γ=2, r=5, λ=2","γ=2, r=5, λ=5","γ=2, r=5, λ=10","γ=2, r=10, λ=2","γ=2, r=10, λ=5","γ=2, r=10, λ=10","γ=4, r=2, λ=2","γ=4, r=2, λ=5","γ=4, r=2, λ=10","γ=4, r=5, λ=2","γ=4, r=5, λ=5","γ=4, r=5, λ=10","γ=4, r=10, λ=2","γ=4, r=10, λ=5","γ=4, r=10, λ=10","γ=6, r=2, λ=2","γ=6, r=2, λ=5","γ=6, r=2, λ=10","γ=6, r=5, λ=2","γ=6, r=5, λ=5","γ=6, r=5, λ=10","γ=6, r=10, λ=2","γ=6, r=10, λ=5","γ=6, r=10, λ=10"
β=0.5,4976.548755203465,4976.532792802081,4976.5061887997745,4976.521716800261,4976.505761062471,4976.479168166152,4976.476659048129,4976.4607144303955,4976.434140067507,4980.589610214751,4980.5712061729155,4980.540532769856,4980.563648731299,4980.545249236204,4980.514583411046,4980.520386634548,4980.501994725284,4980.471341543177,4983.4271150199575,4983.406992867206,4983.3734559459535,4983.401509328625,4983.381390474904,4983.347859052036,4983.358839702807,4983.33872635237,4983.305204101642
β=1.0,4973.796041635217,4973.773885628305,4973.736958950118,4973.766966171044,4973.744812244338,4973.7078890331595,4973.718508154279,4973.696357697035,4973.659440268293,4976.523583047665,4976.500601291981,4976.462298365841,4976.495062150379,4976.472082059934,4976.433781909194,4976.447528881969,4976.424551568681,4976.386256046534,4978.727745798342,4978.7040955906195,4978.6646785777475,4978.69956145272,4978.675912608102,4978.636497867071,4978.652589276259,4978.628942704781,4978.589531752317
β=1.5,4972.728766249783,4972.704208873254,4972.663279912371,4972.699211322183,4972.674654947066,4972.633727655205,4972.649953473587,4972.62539876831,4972.584474259517,4974.759211170229,4974.734243006377,4974.692629399957,4974.729971435559,4974.705004127646,4974.663391947794,4974.681239119381,4974.656273238684,4974.614663437522,4976.501859177492,4976.476537883718,4976.434335727427,4976.472844869339,4976.447524315573,4976.40532339263,4976.424488382162,4976.399169062265,4976.3569701957695
β=2.0,4972.161799688479,4972.135966637186,4972.092911551698,4972.132060562999,4972.1062280986735,4972.063173991465,4972.082495517226,4972.056664031547,4972.013611555418,4973.773273044742,4973.7471948679895,4973.703731240068,4973.743734863896,4973.717657207078,4973.674194445718,4973.694504834659,4973.66842804471,4973.624966728127,4975.203464018863,4975.177167953949,4975.133341179091,4975.174081753613,4975.147786152464,4975.103960150547,4975.125111655359,4975.098816827409,4975.054992114159
